acuity race gender age.num
-0.4031 Aboriginal Male 38
-0.2638 Aboriginal Male 24.8
-0.3861 Aboriginal Male 30.1
-0.2215 Aboriginal Male 20.3
-0.2703 Aboriginal Male 20.2
-0.3014 Aboriginal Male 25.8
-0.3695 Aboriginal Male 25.1
-0.2148 Aboriginal Male 25.6
-0.3881 Aboriginal Male 30.8
-0.4459 Aboriginal Male 22.5
-0.233 Aboriginal Male 35.8
-0.2085 Aboriginal Male 31.3
-0.4091 Aboriginal Male 38.4
-0.3505 Aboriginal Male 26.5
-0.3754 Aboriginal Male 29.2
-0.1628 Aboriginal Male 22.7
-0.3164 Aboriginal Male 21.1
-0.3197 Aboriginal Male 38.8
-0.3301 Aboriginal Male 36.3
-0.4078 Aboriginal Male 26.2
0.0307 Aboriginal Male 24.3
-0.2697 Aboriginal Male 33.9
-0.469 Aboriginal Male 28.6
-0.3702 Aboriginal Male 35.5
-0.1066 Aboriginal Male 30.7
-0.1732 Aboriginal Male 28.2
-0.1791 Aboriginal Male 21.1
-0.1417 Aboriginal Male 33.1
-0.2957 Aboriginal Male 23
-0.0497 Aboriginal Male 26.9
-0.2604 Aboriginal Male 31.2
-0.2524 Aboriginal Male 26.8
-0.1943 Aboriginal Male 35.3
-0.1778 Aboriginal Male 36.7
-0.1062 Aboriginal Male 25.2
-0.1776 Aboriginal Male 30.4
-0.3031 Aboriginal Male 29.7
-0.343 Aboriginal Male 38.9
-0.353 Aboriginal Male 20.2
-0.2831 Aboriginal Male 30.9
-0.2811 Aboriginal Male 28
-0.2975 Aboriginal Male 31.1
-0.2504 Aboriginal Male 37.8
-0.1185 Aboriginal Male 34.4
-0.1367 Aboriginal Male 26.9
-0.2463 Aboriginal Male 35.5
-0.2427 Aboriginal Male 21.5
-0.4429 Aboriginal Male 24.7
-0.1663 Aboriginal Male 26.3
-0.2919 Aboriginal Male 22.3
-0.367 Aboriginal Male 20.1
-0.4519 Aboriginal Male 21.8
-0.1925 Aboriginal Male 28.7
-0.3637 Aboriginal Male 33
-0.2785 Aboriginal Male 21.4
-0.3748 Aboriginal Male 34.3
-0.3845 Aboriginal Male 37.4
-0.117 Aboriginal Male 32.2
-0.2314 Aboriginal Male 37.3
-0.2213 Aboriginal Male 35.7
-0.1423 Aboriginal Male 28.1
-0.2534 Aboriginal Male 21.1
-0.4318 Aboriginal Male 25.7
-0.1514 Aboriginal Male 22.6
-0.2761 Aboriginal Male 25
-0.4646 Aboriginal Male 27.6
-0.3097 Aboriginal Male 26
-0.1314 Aboriginal Male 38.4
-0.2132 Aboriginal Male 26.4
-0.304 Aboriginal Male 33.4
-0.3074 Aboriginal Male 30.1
-0.1185 Aboriginal Male 37.2
0.1364 Aboriginal Male 30.8
-0.3892 Aboriginal Male 34.7
-0.1383 Aboriginal Male 23.6
-0.139 Aboriginal Male 22.9
-0.1199 Aboriginal Male 23.8
-0.3128 Aboriginal Male 20.2
-0.1118 Aboriginal Male 33.7
-0.2876 Aboriginal Male 22.9
-0.1448 Aboriginal Male 36
-0.0339 Aboriginal Male 22.5
-0.2088 Aboriginal Male 37.1
-0.3804 Aboriginal Male 26.1
-0.2416 Aboriginal Male 35.9
-0.3597 Aboriginal Male 35.8
-0.4395 Aboriginal Male 31.7
-0.423 Aboriginal Male 33.6
-0.4237 Aboriginal Male 34.2
-0.1395 Aboriginal Male 36.8
-0.398 Aboriginal Male 27.2
-0.537 Aboriginal Male 34.1
-0.1471 Aboriginal Male 28.7
-0.2586 Aboriginal Male 20.5
-0.3176 Aboriginal Male 21.8
-0.3545 Aboriginal Male 26
-0.2824 Aboriginal Male 36.9
0.0213 Aboriginal Male 35
-0.4056 Aboriginal Male 37
-0.1422 Aboriginal Male 23.7
0.035 Aboriginal Male 20.3
-0.1269 Aboriginal Male 25.4
-0.1547 Aboriginal Male 26.9
-0.3988 Aboriginal Male 25.6
-0.251 Aboriginal Male 25.8
-0.2508 Aboriginal Male 36.3
-0.2759 Aboriginal Male 31.2
-0.2133 Aboriginal Female 33.3
-0.1601 Aboriginal Female 25.5
-0.009 Aboriginal Female 35.6
-0.0911 Aboriginal Female 20.9
-0.3956 Aboriginal Female 24.5
-0.0868 Aboriginal Female 36.1
-0.2469 Aboriginal Female 35.6
-0.1978 Aboriginal Female 24.5
-0.3124 Aboriginal Female 31.1
-0.1561 Aboriginal Female 35.8
-0.5822 Aboriginal Female 34.5
-0.2878 Aboriginal Female 38.3
-0.2857 Aboriginal Female 22
-0.1149 Aboriginal Female 36
-0.2978 Aboriginal Female 34.2
-0.4648 Aboriginal Female 34.9
-0.0879 Aboriginal Female 20.7
-0.2621 Aboriginal Female 31.9
-0.2627 Aboriginal Female 38
-0.5589 Aboriginal Female 26.6
-0.2848 Aboriginal Female 34.5
0.0833 Aboriginal Female 23.2
-0.2774 Aboriginal Female 22.1
-0.1343 Aboriginal Female 37.7
-0.29 Aboriginal Female 35.2
-0.4316 Aboriginal Female 38.3
-0.4469 Aboriginal Female 28.5
-0.14 Aboriginal Female 36.4
-0.5616 Aboriginal Female 26.9
-0.7346 Aboriginal Female 20.9
-0.3883 Aboriginal Female 23.1
-0.0804 Aboriginal Female 32.2
-0.4111 Aboriginal Female 34.8
-0.5936 Aboriginal Female 22
-0.1347 Aboriginal Female 37.9
-0.4258 Aboriginal Female 28.4
-0.3732 Aboriginal Female 33.8
-0.164 Aboriginal Female 33
-0.144 Aboriginal Female 37.7
-0.3954 Aboriginal Female 26.6
-0.147 Aboriginal Female 34.6
-0.4123 Aboriginal Female 23.8
-0.1953 Aboriginal Female 28.3
-0.2753 Aboriginal Female 25.8
-0.25 Aboriginal Female 23.8
-0.2377 Aboriginal Female 29.1
-0.0463 Aboriginal Female 22.6
-0.1472 Aboriginal Female 34.2
-0.4133 Aboriginal Female 29.7
-0.0742 Aboriginal Female 39.6
-0.1461 Aboriginal Female 30.6
-0.1118 Aboriginal Female 22.6
-0.3406 Aboriginal Female 35.1
-0.226 Aboriginal Female 34.3
